,clear ability,score ability
u_129385,9.200883743685871,-6.074490482866321
u_6232,46.7074832171817,21.5433500831772
u_60372,29.547364260682254,9.19737944418774
u_72132,39.268494238296626,17.29733034656
u_154323,34.904378468114096,15.812610211979969
u_160673,39.2084131953344,14.483624631180476
u_83014,21.203582690430054,5.463024887077539
u_117611,19.006872804145207,-4.879695932691894
u_148822,37.98130042944149,22.558911970725216
u_70781,21.90122094078572,-0.526982271146287
u_136780,-7.872628708718126,-10.306810879260647
u_95581,30.037686532261397,24.559912417571745
u_60174,10.974544504597805,-4.031930220569675
u_161542,42.20850708891143,9.60584869124742
u_9263,-2.556070136236631,-1.9126219271666969
u_10,31.127515132732864,4.3505210396690375
u_138286,50.119999812858154,3.0421945843574787
u_64862,30.84829019461515,-1.292742232035045
u_152614,47.72270574316207,46.03847165516805
u_19745,45.10111795257081,18.460489156002875
u_89012,61.823003273359724,58.438264402091484
u_28987,71.73975877082049,76.99680130246878
u_45601,12.14868898143085,-1.605710858800736
u_168713,25.159917457095258,10.311160813219912
u_21995,23.594642147224167,-0.3838112749959675
u_154630,27.290527918360528,24.151182813553422
u_44128,44.94594377916965,7.889406992721972
u_279,54.198039997251065,27.961574604311817
u_38970,52.62091442289747,33.3362018193924
u_75950,21.308694090328768,-4.66136312329681
u_161463,41.48079454159505,22.39079251386789
u_104368,18.195944908111677,-0.10460645893632857
u_46674,37.31054975663794,10.916725518197072
u_22731,66.1273556212462,41.52562046756108
u_105711,31.885451571314867,21.483521732642252
u_111083,17.457792200736687,-8.021351960231478
u_40688,23.429023393576863,-1.8214774531306497
u_181808,45.83616113697792,37.43351039778493
u_124693,12.40860925634031,-2.453327213493878
u_9191,63.39407609054413,53.16842242953049
u_41886,26.696595777330035,18.845236171205418
u_126286,31.811821664043887,10.362247690302944
u_128228,60.41219004661988,31.252352615375006
u_7627,37.26236788828331,16.733278499244506
u_18789,21.741975793773268,-0.5474587745520805
